Name,Email,Wallet Address,Feedback (1-5),Product Feedback,Timestamp
Alice Johnson,alice@example.com,GAE25W6X7X7X7X7X7X7X7X7X7X7X7X7X7X7X7X7X7X7X7DF4,5,The gasless feature is a game changer for oncology records.,2026-04-15 10:12:45
Bob Smith,bob.s@provider.net,GDH3J4K5L6M7N8O9P0Q1R2S3T4U5V6W7X8Y9Z0A1B2C3D8JD9,4,Interface is very fast. I would like more export options.,2026-04-15 11:45:22
Cathy Chen,c.chen@hospital.com,GBC1D2E3F4G5H6I7J8K9L0M1N2O3P4Q5R6S7T8U9V0W1KL12,5,Immutable records give patients real control. Stellar is perfect.,2026-04-16 09:30:11
David Miller,miller.d@gmail.com,GAF9G8H7I6J5K4L3M2N1O0P9Q8R7S6T5U4V3W2X1Y0Z9NML4,3,A bit confusing to connect Freighter at first but worked well.,2026-04-16 14:22:58
Elena Rodriguez,elena.r@tech.io,GAW2V3U4T5S6R7Q8P9O0N1M2L3K4J5I6H7G8F9E0D1C2P9F1,5,Love the neo-brutalist design! Feels like a premium medical app.,2026-04-17 08:15:33
Frank Wright,f.wright@health.org,GA1A2B3C4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5,4,Gas sponsorship works flawlessly.,2026-04-17 09:44:12
Grace Lee,grace.lee@example.com,GB2B3C4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6,5,So happy I don't need XLM for the first upload!,2026-04-17 10:33:04
Henry Ford,h.ford@motors.com,GC3C4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7,4,Clean UI.,2026-04-17 11:20:15
Ivy Watson,ivy.w@liberty.edu,GD4D5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8,5,The indexer metrics are very transparent.,2026-04-17 12:05:59
Jack Sparrow,jack.s@ocean.net,GE5E6F7G8H9I0J1K2L3M4N5O6P7Q8R9S0T1U2V3W4X5Y6Z7A8B9,2,Need better mobile support.,2026-04-17 13:14:22
